Número do Alimento;Categoria do alimento;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)

259;Gorduras e óleos;Azeite, de dendê;NA;884;3699;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
260;Gorduras e óleos;Azeite, de oliva, extra virgem;NA;884;3699;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
261;Gorduras e óleos;Manteiga, com sal;15,8;726;3037;0,4;82,4;201;0,1;NA;1,4;9;1;Tr;28;0,2;579;15;Tr;Tr;924;;;Tr;Tr;Tr;Tr;Tr
262;Gorduras e óleos;Manteiga, sem sal;13,6;758;3170;0,4;86;214;0;NA;0,1;4;1;Tr;7;Tr;4;5;0,04;Tr;1013;;;Tr;Tr;Tr;Tr;Tr
263;Gorduras e óleos;Margarina, com óleo hidrogenado, com sal (65% de lipídeos);32,2;596;2494;Tr;67,4;NA;0;NA;1,9;6;1;Tr;7;0,1;894;21;Tr;Tr;462;;;Tr;Tr;Tr;Tr;Tr
264;Gorduras e óleos;Margarina, com óleo hidrogenado, sem sal (80% de lipídeos);19,6;723;3023;Tr;81,7;NA;0;NA;0,2;3;1;Tr;4;0,1;78;2;Tr;Tr;534;;;Tr;Tr;Tr;Tr;Tr
265;Gorduras e óleos;Margarina, com óleo interesterificado, com sal (65%de lipídeos);32;594;2487;Tr;67,2;NA;0;NA;1,2;5;1;Tr;6;Tr;561;15;Tr;Tr;385;;;Tr;Tr;Tr;Tr;Tr
266;Gorduras e óleos;Margarina, com óleo interesterificado, sem sal (65% de lipídeos);33,4;593;2482;Tr;67,1;NA;0;NA;0,1;5;1;Tr;7;0,1;33;5;Tr;Tr;245;;;Tr;Tr;Tr;Tr;Tr
267;Gorduras e óleos;Óleo, de babaçu;NA;884;3699;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
268;Gorduras e óleos;Óleo, de canola;NA;884;3699;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
269;Gorduras e óleos;Óleo, de girassol;NA;884;3699;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
270;Gorduras e óleos;Óleo, de milho;NA;884;3699;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
271;Gorduras e óleos;Óleo, de pequi;NA;884;3699;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
272;Gorduras e óleos;Óleo, de soja;NA;884;3699;NA;100;NA;NA;NA;;;;;;;;;;;NA;;;;;;;
