Número do Alimento;Categoria do alimento;Descrição dos alimentos;Umidade (%);Energia (kcal);Energia (kJ);Proteína (g);Lipídeos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Cinzas (g);Cálcio (mg);Magnésio (mg);Manganês (mg);Fósforo (mg);Ferro (mg);Sódio (mg);Potássio (mg);Cobre (mg);Zinco (mg);Retinol (mcg);RE (mcg);RAE (mcg);Tiamina (mg);Riboflavina (mg);Piridoxina (mg);Niacina (mg);Vitamina C (mg)

587;Nozes e sementes;Amêndoa, torrada, salgada;3,1;581;2430;18,6;47,3;NA;29,5;11,6;1,5;237;222;1,95;493;3,1;279;640;0,93;2,6;NA;;;0,29;0,16;Tr;Tr;Tr
588;Nozes e sementes;Castanha-de-caju, torrada, salgada;3,5;570;2386;18,5;46,3;NA;29,1;3,7;2,6;33;237;1,59;594;5,2;125;671;1,92;4,7;NA;;;0,29;0,05;0,39;Tr;Tr
589;Nozes e sementes;Castanha-do-Brasil, crua;3,5;643;2690;14,5;63,5;NA;15,1;7,9;3,4;146;365;1,1;853;2,3;1;651;1,79;4,2;NA;;;0,3;Tr;0,44;Tr;Tr
590;Nozes e sementes;Coco, cru;43;406;1701;3,7;42;NA;10,4;5,4;1;6;51;1;118;1,8;15;354;0,45;0,9;NA;;;Tr;Tr;0,03;Tr;2,5
591;Nozes e sementes;Coco,  verde, cru;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;NA;;;*;*;*;*;*
592;Nozes e sementes;Farinha, de mesocarpo de babaçu, crua;15,8;329;1376;1,4;0,2;NA;79,2;17,9;3,4;61;39;0,38;26;18,3;12;362;0,22;0,3;NA;;;Tr;Tr;Tr;2,58;Tr
593;Nozes e sementes;Gergelim, semente;3,9;584;2442;21,2;50,4;NA;21,6;11,9;2,9;825;361;2,67;741;5,4;3;546;1,51;5,2;NA;;;0,94;Tr;0,13;5,92;Tr
594;Nozes e sementes;Linhaça, semente;6,7;495;2072;14,1;32,3;NA;43,3;33,5;3,7;211;347;2,81;615;4,7;9;869;1,09;4,4;NA;;;0,12;Tr;0,13;Tr;Tr
595;Nozes e sementes;Pinhão, cozido;50,5;174;730;3;0,7;NA;43,9;15,6;1,8;16;53;0,41;166;0,8;1;727;0,18;0,8;NA;;;Tr;Tr;Tr;Tr;27,7
596;Nozes e sementes;Pupunha, cozida;54,5;219;914;2,5;12,8;NA;29,6;4,3;0,7;28;25;0,13;49;0,5;1;303;0,28;0,3;NA;875;438;Tr;0,09;0,03;Tr;2,2
597;Nozes e sementes;Noz, crua;6,2;620;2594;14;59,4;NA;18,4;7,2;2,1;105;153;4,05;396;2;5;533;0,75;2,1;NA;;;0,38;Tr;0,13;1,08;Tr
