Número do Alimento;Categoria do alimento;Descrição dos alimentos;Saturados (g);Mono-insaturados (g);Poli-insaturados (g);12:0 (g);14:0 (g);16:0 (g);18:0 (g);20:0 (g);22:0 (g);24:0 (g);14:1 (g);16:1 (g);18:1 (g);20:1 (g);18:2 n-6 (g);18:3 n-3 (g);20:4 (g);20:5 (g);22:5 (g);22:6 (g);18:1t (g);18:2t (g)

259;Gorduras e óleos;Azeite, de dendê;43,1;40,1;16,6;0,28;0,79;36,77;4,61;0,35;0,10;0,08;;0,14;39,86;0,24;15,69;0,83;;;;;;0,14
260;Gorduras e óleos;Azeite, de oliva, extra virgem;14,9;75,5;9,5;;;11,30;2,96;0,38;0,12;0,05;;1,09;74,01;0,25;8,74;0,75;;;;;;
261;Gorduras e óleos;Manteiga, com sal;49,2;20,4;1,2;2,09;8,06;23,01;9,30;0,15;;;0,81;0,98;17,94;0,13;0,89;0,27;;;;;2,50;0,80
262;Gorduras e óleos;Manteiga, sem sal;51,5;21,9;1,5;2,11;7,96;23,87;9,64;0,14;;;0,78;0,98;19,80;0,12;1,22;0,27;;;;;2,31;0,51
263;Gorduras e óleos;Margarina, com óleo hidrogenado, com sal (65% de lipídeos);14,9;18,2;21,4;0,06;0,11;8,29;5,75;0,23;0,28;0,09;;0,05;17,87;0,28;19,48;1,74;;;;;8,69;1,30
265;Gorduras e óleos;Margarina, com óleo interesterificado, com sal (65%de lipídeos);21,9;15,0;27,6;2,50;1,00;12,91;4,35;0,21;0,20;0,08;;0,06;14,70;0,26;24,85;2,64;;;;;0,09;0,24
266;Gorduras e óleos;Margarina, com óleo interesterificado, sem sal (65% de lipídeos);20,9;14,4;26,5;2,35;0,94;12,41;4,15;0,20;0,19;0,08;;0,05;14,07;0,25;23,79;2,58;;;;;0,12;0,20
267;Gorduras e óleos;Óleo, de babaçu;50,9;18,6;30,2;25,03;7,92;9,46;3,14;0,17;0,21;0,07;;;18,51;0,25;27,17;2,86;;;;;;0,19
268;Gorduras e óleos;Óleo, de canola;7,9;62,6;28,4;;0,06;4,59;2,21;0,57;0,30;0,15;;0,20;61,14;1,11;20,87;6,78;;;;;;0,37
269;Gorduras e óleos;Óleo, de girassol;10,8;25,4;62,6;;0,07;6,10;3,42;0,26;0,67;0,25;;0,08;25,15;0,18;62,22;0,39;;;;;;1,14
270;Gorduras e óleos;Óleo, de milho;15,2;33,4;50,9;;;12,12;2,18;0,49;0,18;0,19;;0,12;33,04;0,23;49,94;0,96;;;;;;0,48
271;Gorduras e óleos;Óleo, de pequi;39,9;55,8;4,2;;0,09;37,37;2,08;0,19;0,05;0,06;;0,83;54,73;0,14;3,74;0,51;;;;;;
272;Gorduras e óleos;Óleo, de soja;15,2;23,3;60,0;;0,08;10,83;3,36;0,33;0,43;0,14;;0,09;22,98;0,60;53,85;5,72;;;;;;0,50
